user_id,age,annual_income,monthly_income,current_savings,monthly_investment_capacity,risk_profile,financial_goal,investment_horizon,dependents,tax_bracket,esg_preference,health_risk,investment_knowledge,emergency_fund_months,existing_epf_balance,existing_ppf_balance,existing_nps_balance,recommended_investments
1,61,1233912,102826,889221,74097,Conservative,Wealth Creation,Short Term,5,5%,High,High,Advanced,2,4953410,884834,66653,"PPF, Bonds, ESG Mutual Funds, Fixed Deposit, REITs"
2,22,1085972,90497,7386273,62990,Aggressive,Emergency Fund,Short Term,4,5%,High,High,Advanced,17,3519187,462297,942059,"Stocks, ESG Mutual Funds, REITs, Mutual Funds, Index Funds"
3,58,2633632,219469,268062,43853,Aggressive,House Purchase,Medium Term,2,5%,Low,Medium,Beginner,2,3187061,202828,752834,"Gold, NPS, Stocks"
4,50,4798207,399850,4238470,101230,Conservative,Emergency Fund,Medium Term,5,30%,Medium,High,Beginner,22,583470,96100,1386769,"Fixed Deposit, PPF, Bonds, REITs"
5,35,2727562,227296,2727374,63024,Conservative,House Purchase,Medium Term,3,30%,Medium,Low,Intermediate,11,1757472,1405459,559893,"Fixed Deposit, PPF, Bonds, REITs"
6,65,898967,74913,5792460,142021,Aggressive,Wealth Creation,Short Term,3,20%,Medium,High,Advanced,17,1842265,1435740,680070,REITs
7,24,2221394,185116,1127105,84694,Moderate,Child Education,Short Term,1,30%,High,Medium,Beginner,20,4187855,829700,1855315,"REITs, ESG Mutual Funds"
8,62,4149128,345760,4843975,71436,Conservative,Wealth Creation,Long Term,4,30%,Medium,High,Advanced,13,4895028,837603,759161,"Fixed Deposit, PPF, Bonds, REITs"
9,35,1460410,121700,17146865,131372,Conservative,Retirement,Short Term,1,30%,Low,High,Intermediate,19,532909,806915,800313,"NPS, PPF, Bonds, Fixed Deposit, REITs"
10,59,4226287,352190,17804131,67906,Aggressive,Retirement,Long Term,5,5%,High,High,Intermediate,24,2853598,233941,615514,"NPS, PPF, REITs, ESG Mutual Funds"
11,48,1626723,135560,15274441,2850,Aggressive,Tax Saving,Medium Term,4,5%,High,Low,Advanced,9,4258584,1277103,417146,"NPS, Insurance, PPF, ESG Mutual Funds"
12,30,3436616,286384,5470686,143394,Aggressive,Retirement,Long Term,2,20%,Low,Low,Intermediate,9,2008671,121477,505144,"NPS, Stocks, PPF, REITs, Mutual Funds"
13,57,960662,80055,2924052,129399,Conservative,Emergency Fund,Short Term,1,30%,Medium,High,Beginner,8,4426448,1829624,1272119,"Fixed Deposit, PPF, Bonds, REITs"
14,48,2076692,173057,18145773,54730,Aggressive,Child Education,Medium Term,5,30%,Medium,Medium,Advanced,14,1015056,519895,471224,REITs
15,25,3136067,261338,755792,147207,Conservative,Emergency Fund,Short Term,0,5%,High,High,Beginner,7,565394,1898803,65877,"PPF, Bonds, ESG Mutual Funds, Fixed Deposit, REITs"
16,42,894394,74532,17302216,64391,Moderate,Tax Saving,Medium Term,1,30%,Low,High,Advanced,18,3965051,509602,1645466,"NPS, Insurance, PPF, REITs"
17,51,3714666,309555,6439096,26726,Conservative,Tax Saving,Medium Term,2,20%,Medium,Medium,Advanced,1,825588,127113,844358,"NPS, PPF, Bonds, Fixed Deposit, Insurance"
18,42,1216615,101384,8393522,52224,Conservative,Emergency Fund,Medium Term,1,20%,Low,Medium,Intermediate,7,632374,929312,1694545,"Fixed Deposit, PPF, Bonds, REITs"
19,56,1121317,93443,1747462,143711,Conservative,Retirement,Short Term,1,20%,Medium,Medium,Beginner,12,491869,345269,794764,"NPS, PPF, Bonds, Fixed Deposit, REITs"
20,21,3575095,297924,8948737,121277,Moderate,House Purchase,Long Term,5,30%,High,High,Intermediate,4,1592978,622241,456551,"REITs, ESG Mutual Funds"
21,24,4848263,404021,2095396,84209,Conservative,Retirement,Long Term,3,30%,High,Low,Beginner,16,672023,1785394,389703,"NPS, PPF, Bonds, ESG Mutual Funds, Fixed Deposit"
22,25,870097,72508,7942133,107847,Conservative,Emergency Fund,Short Term,4,30%,Low,High,Beginner,13,4896198,1185366,1096354,"Fixed Deposit, PPF, Bonds, REITs"
23,41,2487461,207288,6903801,84361,Conservative,Child Education,Medium Term,1,30%,High,Medium,Intermediate,10,608535,19535,961094,"PPF, Bonds, ESG Mutual Funds, Fixed Deposit, REITs"
24,60,1138703,94891,2508221,142937,Conservative,Emergency Fund,Medium Term,1,20%,Low,Low,Intermediate,9,1323276,918939,1748489,"Fixed Deposit, PPF, Bonds, REITs"
25,55,2837697,236474,17798304,4050,Aggressive,Emergency Fund,Medium Term,5,5%,Low,Medium,Beginner,3,4640776,325997,571155,"NPS, PPF, Gold"
26,34,2514457,209538,17008713,130065,Moderate,Retirement,Short Term,5,20%,Medium,Low,Beginner,10,1097394,1336123,549360,"NPS, PPF, REITs"
27,31,4006384,333865,18561323,114115,Aggressive,Retirement,Short Term,0,30%,Low,High,Beginner,11,4886444,1158729,310575,"NPS, Stocks, PPF, REITs, Mutual Funds"
28,48,1369090,114090,1453543,82808,Moderate,Retirement,Medium Term,1,30%,Low,High,Beginner,11,4696643,1854164,1834405,"NPS, PPF, REITs"
29,47,1596487,133040,7993586,44598,Conservative,House Purchase,Short Term,1,30%,Medium,Medium,Advanced,23,2081777,559532,333862,"Fixed Deposit, PPF, Bonds"
30,65,1206771,100564,12885970,12151,Moderate,Wealth Creation,Short Term,3,20%,Medium,Low,Beginner,0,1620090,835643,688415,"NPS, Mutual Funds, REITs"
31,43,4573204,381100,13460981,142565,Moderate,Retirement,Short Term,2,5%,High,Medium,Beginner,3,3645385,724958,1527869,"NPS, PPF, REITs, ESG Mutual Funds"
32,41,3960737,330061,17210510,32315,Moderate,Emergency Fund,Short Term,2,5%,High,Medium,Beginner,16,4516862,1440443,1508754,ESG Mutual Funds
33,63,1952850,162737,12271244,115062,Conservative,Tax Saving,Medium Term,4,20%,High,Low,Advanced,9,4254051,648616,1398575,"NPS, PPF, Bonds, ESG Mutual Funds, Fixed Deposit"
34,47,3036220,253018,13552316,79504,Aggressive,Wealth Creation,Short Term,3,30%,Medium,High,Advanced,5,4774000,631137,851601,REITs
35,56,303405,25283,10246351,77212,Conservative,House Purchase,Long Term,4,30%,Medium,Medium,Intermediate,14,1792657,1072009,992343,"Fixed Deposit, PPF, Bonds, REITs"
36,31,1011316,84276,9572291,137122,Aggressive,Tax Saving,Long Term,2,5%,Low,High,Intermediate,7,1670422,309023,51223,"NPS, Stocks, PPF, Insurance, REITs"
37,23,2353888,196157,15992930,21091,Moderate,House Purchase,Long Term,4,5%,High,High,Intermediate,15,3352531,511672,309479,ESG Mutual Funds
38,62,346513,28876,3626476,113449,Conservative,Wealth Creation,Long Term,4,20%,Low,High,Beginner,3,3829079,279632,1680692,"Fixed Deposit, PPF, Bonds, REITs"
39,50,4755457,396288,18804420,85177,Moderate,Emergency Fund,Long Term,4,20%,High,Medium,Beginner,23,3981857,943864,543564,"REITs, ESG Mutual Funds"
40,36,2626256,218854,17541919,129034,Aggressive,Wealth Creation,Medium Term,3,5%,High,Medium,Beginner,8,2817293,670479,1872813,"REITs, ESG Mutual Funds"
41,55,975934,81327,4693063,41539,Conservative,House Purchase,Long Term,1,30%,Low,Low,Intermediate,13,2775634,1137938,977114,"Fixed Deposit, PPF, Bonds"
42,47,822322,68526,6990210,112138,Moderate,Emergency Fund,Long Term,0,30%,Medium,Medium,Beginner,11,2504944,1580151,817861,REITs
43,47,4814921,401243,18375159,59812,Moderate,Wealth Creation,Medium Term,3,20%,Low,Medium,Intermediate,21,3391654,1518718,346123,REITs
44,50,1370619,114218,17972215,9069,Moderate,Emergency Fund,Long Term,5,5%,Low,High,Intermediate,4,3873007,381113,105454,"NPS, Fixed Deposit, Gold"
45,34,4114294,342857,11017125,90473,Moderate,Child Education,Medium Term,2,5%,Medium,Low,Advanced,17,436925,1996320,733920,REITs
46,35,875612,72967,1400838,10134,Conservative,Wealth Creation,Short Term,4,5%,Low,Low,Intermediate,21,959568,1182729,1987590,"Fixed Deposit, PPF, Bonds"
47,34,4200987,350082,8648111,98703,Conservative,Emergency Fund,Long Term,5,30%,Low,Low,Intermediate,3,4854359,53851,1948017,"Fixed Deposit, PPF, Bonds, REITs"
48,40,3448302,287358,13359514,53990,Conservative,Emergency Fund,Long Term,5,5%,Low,High,Intermediate,21,1015483,1669809,1186846,"Fixed Deposit, PPF, Bonds, REITs"
49,23,3212556,267713,17925964,114296,Aggressive,Child Education,Short Term,4,30%,Medium,Low,Intermediate,15,885324,909164,759563,"Mutual Funds, Stocks, Index Funds, REITs"
50,61,4156573,346381,5183531,116160,Conservative,Tax Saving,Long Term,5,20%,High,High,Intermediate,14,3653863,1731690,1533073,"NPS, PPF, Bonds, ESG Mutual Funds, Fixed Deposit"
51,58,2551464,212622,10864747,66355,Conservative,Child Education,Medium Term,1,20%,High,High,Advanced,12,2821899,60188,1036635,"PPF, Bonds, ESG Mutual Funds, Fixed Deposit, REITs"
52,41,1825383,152115,16409461,57605,Moderate,Child Education,Medium Term,2,30%,High,Medium,Advanced,0,4333783,1988231,400674,"REITs, ESG Mutual Funds"
53,26,2324641,193720,13687464,130077,Aggressive,Wealth Creation,Long Term,3,30%,High,Medium,Intermediate,0,780588,617056,464721,"Stocks, ESG Mutual Funds, REITs, Mutual Funds, Index Funds"
54,46,2340991,195082,10324569,98736,Moderate,Emergency Fund,Long Term,2,20%,High,High,Intermediate,11,3806291,568152,643035,"REITs, ESG Mutual Funds"
55,37,2233893,186157,4098539,52484,Moderate,Retirement,Long Term,4,30%,Low,Low,Beginner,23,4061752,579861,1519564,"NPS, PPF, REITs"
56,58,4700973,391747,9545860,28352,Conservative,Child Education,Short Term,2,5%,Medium,Low,Advanced,17,1061854,575272,95453,"Fixed Deposit, PPF, Bonds"
57,24,4941911,411825,9852479,35103,Aggressive,House Purchase,Short Term,0,30%,Medium,Medium,Intermediate,14,2858048,386638,107744,"Mutual Funds, Stocks, Index Funds"
58,37,4307482,358956,3878129,19129,Moderate,House Purchase,Short Term,4,30%,High,Low,Beginner,4,4721440,1990460,637189,ESG Mutual Funds
59,26,2381976,198498,4024574,148295,Moderate,Emergency Fund,Long Term,4,5%,High,Medium,Intermediate,14,2494378,1803900,1234226,"REITs, ESG Mutual Funds"
60,48,2861715,238476,19130038,17789,Aggressive,Tax Saving,Short Term,1,30%,Low,Medium,Advanced,2,1317490,503033,364513,"NPS, Insurance, PPF"
61,56,929689,77474,5302363,2701,Moderate,House Purchase,Long Term,4,20%,Medium,Low,Beginner,9,2371613,1474271,1802725,"Bonds, Mutual Funds, PPF"
62,37,1959427,163285,14315296,32087,Aggressive,Wealth Creation,Long Term,1,20%,Low,Low,Beginner,5,2580434,1247897,1570678,"REITs, NPS, Bonds"
63,28,4231723,352643,10253607,107515,Moderate,Emergency Fund,Long Term,3,20%,Low,High,Beginner,13,2703829,1266079,525059,REITs
64,22,1066105,88842,7731428,7438,Aggressive,Child Education,Long Term,0,5%,Medium,High,Advanced,14,2333346,380610,1227525,"Mutual Funds, Stocks, Index Funds"
65,48,4424894,368741,3111587,125210,Moderate,House Purchase,Medium Term,2,30%,Low,Low,Intermediate,13,4156295,604436,1389538,REITs
66,46,4914544,409545,1281351,121229,Conservative,Child Education,Medium Term,2,5%,Medium,High,Beginner,21,4551604,968834,866642,"Fixed Deposit, PPF, Bonds, REITs"
67,24,1873556,156129,17445939,96838,Aggressive,House Purchase,Long Term,3,5%,Low,Medium,Advanced,4,2416163,918796,1847269,"Mutual Funds, Stocks, Index Funds, REITs"
